,Name,dist_to_campus_m,walk_time_min
0,The Study,964.3471042543089,12.054338803178862
1,Rende,936.5870643249231,11.707338304061539
2,Feast,877.1703221790856,10.96462902723857
3,Bplate,743.432422905304,9.2929052863163
4,Bcafe,795.4262147027312,9.94282768378414
5,Epic,772.4070292398745,9.655087865498432
6,De Neve,778.1122263576416,9.72640282947052
7,Dykstra Hall,785.3662773258387,9.817078466572983
8,De Neve Plaza,787.3795698907876,9.842244623634844
9,De Neve Residence Hall,822.4934476548586,10.281168095685732
10,Hedrick Hall,984.8721886527607,12.310902358159508
11,Hitch Suites,1115.0628396220316,13.938285495275395
12,Olympic / Centennial,1071.3186226888347,13.391482783610433
13,Rieber Terrace,958.4067260788559,11.980084075985697
14,Rieber Vista,951.4278113689605,11.892847642112006
15,Rieber Hall,900.5024647549826,11.256280809437282
16,Saxon Suites,1034.574309666874,12.932178870835923
17,Sproul Landing,769.017743654043,9.612721795675537
18,Hedrick Summit,1032.2024316941258,12.902530396176573
19,Sunset Village,855.5000646089138,10.693750807611423
20,Sproul Hall,770.5300750503957,9.631625938129947
21,Gayley Court Apartment,951.095316178041,11.888691452225512
22,Gayley Heights,1070.7930527159845,13.384913158949805
23,Glenrock West Apartments,1033.2055659721907,12.915069574652383
24,Glenrock Apartments,988.9061154402199,12.36132644300275
25,Laurel,1260.5779828748466,15.757224785935582
26,Landfair Apartments,892.8418697105677,11.160523371382096
27,Levering Terrace Apartments,1163.159927364621,14.539499092057762
28,Palo Verde,1273.454120194368,15.9181765024296
29,Tipuana,1218.1208180830629,15.226510226038286
30,Westwood Chateau Apartments,942.0567041341743,11.77570880167718
31,Westwood Palms Apartments,960.7272280365561,12.009090350456951
