Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,606,2/20/2025 11:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,21,2/20/2025 11:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,340,2/20/2025 11:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 11:02
De Neve Residence Hall,DN,Deluxe Triple,Female,231,2/20/2025 11:02
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,19,2/20/2025 11:02
De Neve Residence Hall,DN,Deluxe Triple,Male,110,2/20/2025 11:02
Dykstra Hall,DYK,Classic Triple,Female,444,2/20/2025 11:02
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/20/2025 11:02
Dykstra Hall,DYK,Classic Triple,Male,251,2/20/2025 11:02
Hedrick Hall,HED,Classic Triple,Female,577,2/20/2025 11:02
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/20/2025 11:02
Hedrick Hall,HED,Classic Triple,Male,366,2/20/2025 11:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,258,2/20/2025 11:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,4,2/20/2025 11:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,160,2/20/2025 11:02
Olympic / Centennial,OC,Deluxe Triple,Female,750,2/20/2025 11:02
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,30,2/20/2025 11:02
Olympic / Centennial,OC,Deluxe Triple,Male,429,2/20/2025 11:02
Rieber Hall,RIE,Classic Triple,Female,548,2/20/2025 11:02
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/20/2025 11:02
Rieber Hall,RIE,Classic Triple,Male,371,2/20/2025 11:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/20/2025 11:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/20/2025 11:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 11:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,388,2/20/2025 11:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2/20/2025 11:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,242,2/20/2025 11:02
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/20/2025 11:02
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/20/2025 11:02
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,372,2/20/2025 11:02
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,30,2/20/2025 11:02
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,238,2/20/2025 11:02
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,161,2/20/2025 11:02
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/20/2025 11:02
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,38,2/20/2025 11:02
Sproul Landing / Cove,SLC,Deluxe Triple,Female,317,2/20/2025 11:02
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,8,2/20/2025 11:02
Sproul Landing / Cove,SLC,Deluxe Triple,Male,150,2/20/2025 11:02
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2/20/2025 11:02
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,402,2/20/2025 11:02
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/20/2025 11:02
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,250,2/20/2025 11:02
Sproul Hall,SPR,Classic Triple,Female,517,2/20/2025 11:02
Sproul Hall,SPR,Classic Triple,Gender Inclusive,38,2/20/2025 11:02
Sproul Hall,SPR,Classic Triple,Male,339,2/20/2025 11:02
Sunset Village,SV,Plaza Triple/Private Bath,Female,389,2/20/2025 11:02
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,19,2/20/2025 11:02
Sunset Village,SV,Plaza Triple/Private Bath,Male,223,2/20/2025 11:02
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,2,2/20/2025 11:02
Sunset Village,SV,Plaza Triple/Shared Bath,Female,398,2/20/2025 11:02
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,14,2/20/2025 11:02
Sunset Village,SV,Plaza Triple/Shared Bath,Male,270,2/20/2025 11:02
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/20/2025 11:02
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/20/2025 11:02
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2/20/2025 11:02
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2/20/2025 11:02
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/20/2025 11:02
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2/20/2025 11:02
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/20/2025 11:02
