Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,548,2/20/2025 15:03
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,15,2/20/2025 15:03
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,288,2/20/2025 15:03
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 15:03
De Neve Residence Hall,DN,Deluxe Triple,Female,219,2/20/2025 15:03
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/20/2025 15:03
De Neve Residence Hall,DN,Deluxe Triple,Male,102,2/20/2025 15:03
Dykstra Hall,DYK,Classic Triple,Female,425,2/20/2025 15:03
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/20/2025 15:03
Dykstra Hall,DYK,Classic Triple,Male,247,2/20/2025 15:03
Hedrick Hall,HED,Classic Triple,Female,577,2/20/2025 15:03
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/20/2025 15:03
Hedrick Hall,HED,Classic Triple,Male,366,2/20/2025 15:03
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,251,2/20/2025 15:03
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,3,2/20/2025 15:03
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,132,2/20/2025 15:03
Olympic / Centennial,OC,Deluxe Triple,Female,638,2/20/2025 15:03
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,24,2/20/2025 15:03
Olympic / Centennial,OC,Deluxe Triple,Male,315,2/20/2025 15:03
Rieber Hall,RIE,Classic Triple,Female,543,2/20/2025 15:03
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/20/2025 15:03
Rieber Hall,RIE,Classic Triple,Male,370,2/20/2025 15:03
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/20/2025 15:03
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/20/2025 15:03
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 15:03
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,361,2/20/2025 15:03
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,31,2/20/2025 15:03
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,217,2/20/2025 15:03
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/20/2025 15:03
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/20/2025 15:03
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,333,2/20/2025 15:03
