Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,581,2/20/2025 13:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,21,2/20/2025 13:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,309,2/20/2025 13:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 13:02
De Neve Residence Hall,DN,Deluxe Triple,Female,222,2/20/2025 13:02
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/20/2025 13:02
De Neve Residence Hall,DN,Deluxe Triple,Male,110,2/20/2025 13:02
Dykstra Hall,DYK,Classic Triple,Female,433,2/20/2025 13:02
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/20/2025 13:02
Dykstra Hall,DYK,Classic Triple,Male,251,2/20/2025 13:02
Hedrick Hall,HED,Classic Triple,Female,577,2/20/2025 13:02
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/20/2025 13:02
Hedrick Hall,HED,Classic Triple,Male,366,2/20/2025 13:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,257,2/20/2025 13:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,3,2/20/2025 13:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,143,2/20/2025 13:02
Olympic / Centennial,OC,Deluxe Triple,Female,701,2/20/2025 13:02
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,26,2/20/2025 13:02
Olympic / Centennial,OC,Deluxe Triple,Male,363,2/20/2025 13:02
Rieber Hall,RIE,Classic Triple,Female,547,2/20/2025 13:02
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/20/2025 13:02
Rieber Hall,RIE,Classic Triple,Male,371,2/20/2025 13:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/20/2025 13:02
