Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,311,2/24/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,11,2/24/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,94,2/24/2025 11:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,1,2/24/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Female,117,2/24/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,6,2/24/2025 11:00
De Neve Residence Hall,DN,Deluxe Triple,Male,20,2/24/2025 11:00
Dykstra Hall,DYK,Classic Triple,Female,380,2/24/2025 11:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/24/2025 11:00
Dykstra Hall,DYK,Classic Triple,Male,210,2/24/2025 11:00
Hedrick Hall,HED,Classic Triple,Female,552,2/24/2025 11:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/24/2025 11:00
Hedrick Hall,HED,Classic Triple,Male,361,2/24/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,128,2/24/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/24/2025 11:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,6,2/24/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Female,84,2/24/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,14,2/24/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Male,17,2/24/2025 11:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/24/2025 11:00
Rieber Hall,RIE,Classic Triple,Female,500,2/24/2025 11:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/24/2025 11:00
Rieber Hall,RIE,Classic Triple,Male,352,2/24/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/24/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/24/2025 11:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/24/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,174,2/24/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,28,2/24/2025 11:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,109,2/24/2025 11:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/24/2025 11:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/24/2025 11:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,209,2/24/2025 11:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,26,2/24/2025 11:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,162,2/24/2025 11:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,34,2/24/2025 11:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/24/2025 11:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,6,2/24/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,38,2/24/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,6,2/24/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,14,2/24/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2/24/2025 11:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2/24/2025 11:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,384,2/24/2025 11:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/24/2025 11:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,239,2/24/2025 11:00
Sproul Hall,SPR,Classic Triple,Female,388,2/24/2025 11:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2/24/2025 11:00
Sproul Hall,SPR,Classic Triple,Male,246,2/24/2025 11:00
Sproul Hall,SPR,Classic Triple,Non-Binary,0,2/24/2025 11:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,186,2/24/2025 11:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,12,2/24/2025 11:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,70,2/24/2025 11:00
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,2,2/24/2025 11:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,200,2/24/2025 11:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,10,2/24/2025 11:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,181,2/24/2025 11:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/24/2025 11:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2/24/2025 11:00
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2/24/2025 11:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/24/2025 11:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2/24/2025 11:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/6 Person,Female,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/6 Person,Male,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2/24/2025 11:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2/24/2025 11:00
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2/24/2025 11:00
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2/24/2025 11:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2/24/2025 11:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2/24/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2/24/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2/24/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2/24/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2/24/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2/24/2025 11:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2/24/2025 11:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2/24/2025 11:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2/24/2025 11:00
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2/24/2025 11:00
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2/24/2025 11:00
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2/24/2025 11:00
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2/24/2025 11:00
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2/24/2025 11:00
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2/24/2025 11:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2/24/2025 11:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2/24/2025 11:00
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2/24/2025 11:00
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2/24/2025 11:00
Laurel,LA,2 Bd/4 Person,Female,0,2/24/2025 11:00
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Laurel,LA,2 Bd/4 Person,Male,0,2/24/2025 11:00
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2/24/2025 11:00
Laurel,LA,4 Bd/10 Person-Double,Female,0,2/24/2025 11:00
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2/24/2025 11:00
Laurel,LA,4 Bd/10 Person-Double,Male,0,2/24/2025 11:00
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2/24/2025 11:00
Laurel,LA,4 Bd/10 Person-Triple,Female,44,2/24/2025 11:00
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2/24/2025 11:00
Laurel,LA,4 Bd/10 Person-Triple,Male,84,2/24/2025 11:00
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,2/24/2025 11:00
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2/24/2025 11:00
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Landfair Apartments,LF,2 Bd/4 Person,Male,0,2/24/2025 11:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,2/24/2025 11:00
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2/24/2025 11:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,2/24/2025 11:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,2/24/2025 11:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,2/24/2025 11:00
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,2/24/2025 11:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,0,2/24/2025 11:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,2/24/2025 11:00
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,8,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,2/24/2025 11:00
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,2/24/2025 11:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,2/24/2025 11:00
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,2/24/2025 11:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,2/24/2025 11:00
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2/24/2025 11:00
Palo Verde,PV,2 Bd/4 Person,Female,0,2/24/2025 11:00
Palo Verde,PV,2 Bd/4 Person,Male,0,2/24/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Double,Female,0,2/24/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,2/24/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Double,Male,0,2/24/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Triple,Female,44,2/24/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,0,2/24/2025 11:00
Palo Verde,PV,4 Bd/10 Person-Triple,Male,42,2/24/2025 11:00
Tipuana,TN,2 Bd/4 Person,Female,0,2/24/2025 11:00
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Tipuana,TN,2 Bd/4 Person,Male,0,2/24/2025 11:00
Tipuana,TN,4 Bd/10 Person-Double,Female,0,2/24/2025 11:00
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2/24/2025 11:00
Tipuana,TN,4 Bd/10 Person-Double,Male,0,2/24/2025 11:00
Tipuana,TN,4 Bd/10 Person-Triple,Female,44,2/24/2025 11:00
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2/24/2025 11:00
Tipuana,TN,4 Bd/10 Person-Triple,Male,118,2/24/2025 11:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2/24/2025 11:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2/24/2025 11:00
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2/24/2025 11:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2/24/2025 11:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2/24/2025 11:00
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2/24/2025 11:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2/24/2025 11:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2/24/2025 11:00
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2/24/2025 11:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2/24/2025 11:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2/24/2025 11:00
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2/24/2025 11:00
