Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,653,2/19/2025 15:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,24,2/19/2025 15:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,369,2/19/2025 15:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/19/2025 15:01
De Neve Residence Hall,DN,Deluxe Triple,Female,243,2/19/2025 15:01
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,27,2/19/2025 15:01
De Neve Residence Hall,DN,Deluxe Triple,Male,117,2/19/2025 15:01
Dykstra Hall,DYK,Classic Triple,Female,450,2/19/2025 15:01
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/19/2025 15:01
Dykstra Hall,DYK,Classic Triple,Male,257,2/19/2025 15:01
Hedrick Hall,HED,Classic Triple,Female,580,2/19/2025 15:01
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/19/2025 15:01
Hedrick Hall,HED,Classic Triple,Male,366,2/19/2025 15:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,260,2/19/2025 15:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,4,2/19/2025 15:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,167,2/19/2025 15:01
Olympic / Centennial,OC,Deluxe Triple,Female,823,2/19/2025 15:01
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,51,2/19/2025 15:01
Olympic / Centennial,OC,Deluxe Triple,Male,472,2/19/2025 15:01
Rieber Hall,RIE,Classic Triple,Female,551,2/19/2025 15:01
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/19/2025 15:01
Rieber Hall,RIE,Classic Triple,Male,372,2/19/2025 15:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,1,2/19/2025 15:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,3,2/19/2025 15:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/19/2025 15:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,401,2/19/2025 15:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2/19/2025 15:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,257,2/19/2025 15:01
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/19/2025 15:01
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/19/2025 15:01
