Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,588,2/20/2025 12:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,21,2/20/2025 12:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,324,2/20/2025 12:02
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 12:02
De Neve Residence Hall,DN,Deluxe Triple,Female,224,2/20/2025 12:02
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/20/2025 12:02
De Neve Residence Hall,DN,Deluxe Triple,Male,110,2/20/2025 12:02
Dykstra Hall,DYK,Classic Triple,Female,433,2/20/2025 12:02
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/20/2025 12:02
Dykstra Hall,DYK,Classic Triple,Male,251,2/20/2025 12:02
Hedrick Hall,HED,Classic Triple,Female,577,2/20/2025 12:02
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/20/2025 12:02
Hedrick Hall,HED,Classic Triple,Male,366,2/20/2025 12:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,258,2/20/2025 12:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,4,2/20/2025 12:02
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,158,2/20/2025 12:02
Olympic / Centennial,OC,Deluxe Triple,Female,718,2/20/2025 12:02
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,29,2/20/2025 12:02
Olympic / Centennial,OC,Deluxe Triple,Male,401,2/20/2025 12:02
Rieber Hall,RIE,Classic Triple,Female,547,2/20/2025 12:02
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/20/2025 12:02
Rieber Hall,RIE,Classic Triple,Male,371,2/20/2025 12:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/20/2025 12:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/20/2025 12:02
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/20/2025 12:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,384,2/20/2025 12:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2/20/2025 12:02
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,240,2/20/2025 12:02
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/20/2025 12:02
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/20/2025 12:02
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,361,2/20/2025 12:02
