Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,292,2/24/2025 12:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,11,2/24/2025 12:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,70,2/24/2025 12:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,1,2/24/2025 12:00
De Neve Residence Hall,DN,Deluxe Triple,Female,50,2/24/2025 12:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,6,2/24/2025 12:00
De Neve Residence Hall,DN,Deluxe Triple,Male,15,2/24/2025 12:00
Dykstra Hall,DYK,Classic Triple,Female,362,2/24/2025 12:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/24/2025 12:00
Dykstra Hall,DYK,Classic Triple,Male,204,2/24/2025 12:00
Hedrick Hall,HED,Classic Triple,Female,548,2/24/2025 12:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/24/2025 12:00
Hedrick Hall,HED,Classic Triple,Male,361,2/24/2025 12:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,126,2/24/2025 12:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/24/2025 12:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,6,2/24/2025 12:00
Olympic / Centennial,OC,Deluxe Triple,Female,62,2/24/2025 12:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,14,2/24/2025 12:00
Olympic / Centennial,OC,Deluxe Triple,Male,15,2/24/2025 12:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/24/2025 12:00
Rieber Hall,RIE,Classic Triple,Female,496,2/24/2025 12:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/24/2025 12:00
Rieber Hall,RIE,Classic Triple,Male,351,2/24/2025 12:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/24/2025 12:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/24/2025 12:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/24/2025 12:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,147,2/24/2025 12:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,25,2/24/2025 12:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,82,2/24/2025 12:00
