Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,437,2/21/2025 14:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,15,2/21/2025 14:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,187,2/21/2025 14:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 14:00
De Neve Residence Hall,DN,Deluxe Triple,Female,185,2/21/2025 14:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/21/2025 14:00
De Neve Residence Hall,DN,Deluxe Triple,Male,55,2/21/2025 14:00
Dykstra Hall,DYK,Classic Triple,Female,407,2/21/2025 14:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/21/2025 14:00
Dykstra Hall,DYK,Classic Triple,Male,230,2/21/2025 14:00
Hedrick Hall,HED,Classic Triple,Female,559,2/21/2025 14:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/21/2025 14:00
Hedrick Hall,HED,Classic Triple,Male,362,2/21/2025 14:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,176,2/21/2025 14:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/21/2025 14:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,42,2/21/2025 14:00
Olympic / Centennial,OC,Deluxe Triple,Female,343,2/21/2025 14:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,17,2/21/2025 14:00
Olympic / Centennial,OC,Deluxe Triple,Male,68,2/21/2025 14:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/21/2025 14:00
Rieber Hall,RIE,Classic Triple,Female,518,2/21/2025 14:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/21/2025 14:00
Rieber Hall,RIE,Classic Triple,Male,360,2/21/2025 14:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/21/2025 14:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/21/2025 14:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 14:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,269,2/21/2025 14:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,28,2/21/2025 14:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,169,2/21/2025 14:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/21/2025 14:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/21/2025 14:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,253,2/21/2025 14:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,26,2/21/2025 14:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,207,2/21/2025 14:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,36,2/21/2025 14:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/21/2025 14:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,11,2/21/2025 14:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,51,2/21/2025 14:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,6,2/21/2025 14:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,16,2/21/2025 14:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2/21/2025 14:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2/21/2025 14:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,394,2/21/2025 14:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/21/2025 14:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,250,2/21/2025 14:00
Sproul Hall,SPR,Classic Triple,Female,436,2/21/2025 14:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2/21/2025 14:00
Sproul Hall,SPR,Classic Triple,Male,292,2/21/2025 14:00
Sproul Hall,SPR,Classic Triple,Non-Binary,0,2/21/2025 14:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,240,2/21/2025 14:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,13,2/21/2025 14:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,110,2/21/2025 14:00
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,3,2/21/2025 14:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,260,2/21/2025 14:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,12,2/21/2025 14:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,216,2/21/2025 14:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/21/2025 14:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 14:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2/21/2025 14:00
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2/21/2025 14:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/21/2025 14:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 14:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/21/2025 14:00
