Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,204,3/3/2025 16:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,3/3/2025 16:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,25,3/3/2025 16:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,3/3/2025 16:00
De Neve Residence Hall,DN,Deluxe Triple,Female,13,3/3/2025 16:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,3,3/3/2025 16:00
De Neve Residence Hall,DN,Deluxe Triple,Male,0,3/3/2025 16:00
Dykstra Hall,DYK,Classic Triple,Female,321,3/3/2025 16:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,3/3/2025 16:00
Dykstra Hall,DYK,Classic Triple,Male,194,3/3/2025 16:00
Hedrick Hall,HED,Classic Triple,Female,542,3/3/2025 16:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,3/3/2025 16:00
Hedrick Hall,HED,Classic Triple,Male,357,3/3/2025 16:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,112,3/3/2025 16:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,3/3/2025 16:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,3/3/2025 16:00
Olympic / Centennial,OC,Deluxe Triple,Female,20,3/3/2025 16:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,14,3/3/2025 16:00
Olympic / Centennial,OC,Deluxe Triple,Male,0,3/3/2025 16:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,3/3/2025 16:00
Rieber Hall,RIE,Classic Triple,Female,477,3/3/2025 16:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,3/3/2025 16:00
Rieber Hall,RIE,Classic Triple,Male,344,3/3/2025 16:00
