Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,706,2/18/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,30,2/18/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,428,2/18/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/18/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Female,256,2/18/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,27,2/18/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Male,124,2/18/2025 15:00
Dykstra Hall,DYK,Classic Triple,Female,459,2/18/2025 15:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/18/2025 15:00
Dykstra Hall,DYK,Classic Triple,Male,260,2/18/2025 15:00
Hedrick Hall,HED,Classic Triple,Female,580,2/18/2025 15:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/18/2025 15:00
Hedrick Hall,HED,Classic Triple,Male,366,2/18/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,263,2/18/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,18,2/18/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,168,2/18/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Female,932,2/18/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,66,2/18/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Male,528,2/18/2025 15:00
Rieber Hall,RIE,Classic Triple,Female,556,2/18/2025 15:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/18/2025 15:00
Rieber Hall,RIE,Classic Triple,Male,380,2/18/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,8,2/18/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,7,2/18/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,1,2/18/2025 15:00
