Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,337,2/24/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,11,2/24/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,118,2/24/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,1,2/24/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Female,163,2/24/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/24/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Male,24,2/24/2025 10:00
Dykstra Hall,DYK,Classic Triple,Female,392,2/24/2025 10:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/24/2025 10:00
Dykstra Hall,DYK,Classic Triple,Male,215,2/24/2025 10:00
Hedrick Hall,HED,Classic Triple,Female,555,2/24/2025 10:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/24/2025 10:00
Hedrick Hall,HED,Classic Triple,Male,361,2/24/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,145,2/24/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/24/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,6,2/24/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Female,159,2/24/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,14,2/24/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Male,21,2/24/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/24/2025 10:00
Rieber Hall,RIE,Classic Triple,Female,508,2/24/2025 10:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/24/2025 10:00
Rieber Hall,RIE,Classic Triple,Male,352,2/24/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/24/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/24/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/24/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,199,2/24/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,28,2/24/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,127,2/24/2025 10:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/24/2025 10:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/24/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,221,2/24/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,26,2/24/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,173,2/24/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,35,2/24/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/24/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,6,2/24/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,41,2/24/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,6,2/24/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,15,2/24/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2/24/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2/24/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,384,2/24/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/24/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,243,2/24/2025 10:00
Sproul Hall,SPR,Classic Triple,Female,407,2/24/2025 10:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2/24/2025 10:00
Sproul Hall,SPR,Classic Triple,Male,260,2/24/2025 10:00
Sproul Hall,SPR,Classic Triple,Non-Binary,0,2/24/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,202,2/24/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,12,2/24/2025 10:00
