Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,662,2/19/2025 14:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,24,2/19/2025 14:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,378,2/19/2025 14:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/19/2025 14:01
De Neve Residence Hall,DN,Deluxe Triple,Female,243,2/19/2025 14:01
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,27,2/19/2025 14:01
De Neve Residence Hall,DN,Deluxe Triple,Male,117,2/19/2025 14:01
Dykstra Hall,DYK,Classic Triple,Female,451,2/19/2025 14:01
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/19/2025 14:01
Dykstra Hall,DYK,Classic Triple,Male,257,2/19/2025 14:01
Hedrick Hall,HED,Classic Triple,Female,580,2/19/2025 14:01
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/19/2025 14:01
Hedrick Hall,HED,Classic Triple,Male,366,2/19/2025 14:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,261,2/19/2025 14:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,4,2/19/2025 14:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,167,2/19/2025 14:01
Olympic / Centennial,OC,Deluxe Triple,Female,835,2/19/2025 14:01
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,51,2/19/2025 14:01
Olympic / Centennial,OC,Deluxe Triple,Male,478,2/19/2025 14:01
Rieber Hall,RIE,Classic Triple,Female,551,2/19/2025 14:01
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/19/2025 14:01
Rieber Hall,RIE,Classic Triple,Male,373,2/19/2025 14:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,2,2/19/2025 14:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,2,2/19/2025 14:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/19/2025 14:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,406,2/19/2025 14:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2/19/2025 14:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,260,2/19/2025 14:01
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/19/2025 14:01
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/19/2025 14:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,379,2/19/2025 14:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,30,2/19/2025 14:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,249,2/19/2025 14:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,197,2/19/2025 14:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/19/2025 14:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,62,2/19/2025 14:01
