De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,736,2/18/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,33,2/18/2025 10:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,457,2/18/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Female,271,2/18/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,33,2/18/2025 10:00
De Neve Residence Hall,DN,Deluxe Triple,Male,126,2/18/2025 10:00
Dykstra Hall,DYK,Classic Triple,Female,468,2/18/2025 10:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/18/2025 10:00
Dykstra Hall,DYK,Classic Triple,Male,260,2/18/2025 10:00
Hedrick Hall,HED,Classic Triple,Female,588,2/18/2025 10:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/18/2025 10:00
Hedrick Hall,HED,Classic Triple,Male,366,2/18/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,264,2/18/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,18,2/18/2025 10:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,168,2/18/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Female,993,2/18/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,81,2/18/2025 10:00
Olympic / Centennial,OC,Deluxe Triple,Male,582,2/18/2025 10:00
Rieber Hall,RIE,Classic Triple,Female,564,2/18/2025 10:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/18/2025 10:00
Rieber Hall,RIE,Classic Triple,Male,381,2/18/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,15,2/18/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,13,2/18/2025 10:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary1,2/18/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,434,2/18/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2/18/2025 10:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,267,2/18/2025 10:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/18/2025 10:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,3,2/18/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,408,2/18/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,30,2/18/2025 10:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,252,2/18/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,249,2/18/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,18,2/18/2025 10:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,138,2/18/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,569,2/18/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,40,2/18/2025 10:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,348,2/18/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,411,2/18/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/18/2025 10:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,252,2/18/2025 10:00
Sproul Hall,SPR,Classic Triple,Female,571,2/18/2025 10:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,51,2/18/2025 10:00
Sproul Hall,SPR,Classic Triple,Male,360,2/18/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,504,2/18/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,39,2/18/2025 10:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,306,2/18/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,456,2/18/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,36,2/18/2025 10:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,282,2/18/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,157,2/18/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,2,2/18/2025 10:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,100,2/18/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/18/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,3,2/18/2025 10:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/18/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Double,Female,2,2/18/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Double,Male,4,2/18/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,5,2/18/2025 10:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,6,2/18/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Female,384,2/18/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,20,2/18/2025 10:00
Gayley Heights,GH,2 Bd/6 Person,Male,230,2/18/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,40,2/18/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,4,2/18/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,28,2/18/2025 10:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,33,2/18/2025 10:00
