Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,212,3/3/2025 13:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,3/3/2025 13:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,30,3/3/2025 13:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,3/3/2025 13:00
De Neve Residence Hall,DN,Deluxe Triple,Female,15,3/3/2025 13:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,3,3/3/2025 13:00
De Neve Residence Hall,DN,Deluxe Triple,Male,2,3/3/2025 13:00
Dykstra Hall,DYK,Classic Triple,Female,324,3/3/2025 13:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,3/3/2025 13:00
Dykstra Hall,DYK,Classic Triple,Male,197,3/3/2025 13:00
Hedrick Hall,HED,Classic Triple,Female,542,3/3/2025 13:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,3/3/2025 13:00
Hedrick Hall,HED,Classic Triple,Male,357,3/3/2025 13:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,117,3/3/2025 13:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,3/3/2025 13:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,3/3/2025 13:00
Olympic / Centennial,OC,Deluxe Triple,Female,19,3/3/2025 13:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,12,3/3/2025 13:00
Olympic / Centennial,OC,Deluxe Triple,Male,0,3/3/2025 13:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,3/3/2025 13:00
Rieber Hall,RIE,Classic Triple,Female,477,3/3/2025 13:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,3/3/2025 13:00
Rieber Hall,RIE,Classic Triple,Male,347,3/3/2025 13:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,3/3/2025 13:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,3/3/2025 13:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,3/3/2025 13:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,69,3/3/2025 13:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,25,3/3/2025 13:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,34,3/3/2025 13:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,3/3/2025 13:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,3/3/2025 13:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,136,3/3/2025 13:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,22,3/3/2025 13:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,114,3/3/2025 13:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,3,3/3/2025 13:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,18,3/3/2025 13:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,3/3/2025 13:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,3/3/2025 13:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,19,3/3/2025 13:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,5,3/3/2025 13:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,0,3/3/2025 13:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,3/3/2025 13:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,3/3/2025 13:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,373,3/3/2025 13:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,3/3/2025 13:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,237,3/3/2025 13:00
Sproul Hall,SPR,Classic Triple,Female,247,3/3/2025 13:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,3/3/2025 13:00
Sproul Hall,SPR,Classic Triple,Male,166,3/3/2025 13:00
Sproul Hall,SPR,Classic Triple,Non-Binary,0,3/3/2025 13:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,130,3/3/2025 13:00
