Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,403,2/21/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,15,2/21/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,152,2/21/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Female,179,2/21/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,9,2/21/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Male,31,2/21/2025 15:00
Dykstra Hall,DYK,Classic Triple,Female,402,2/21/2025 15:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/21/2025 15:00
Dykstra Hall,DYK,Classic Triple,Male,228,2/21/2025 15:00
Hedrick Hall,HED,Classic Triple,Female,555,2/21/2025 15:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/21/2025 15:00
Hedrick Hall,HED,Classic Triple,Male,361,2/21/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,153,2/21/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/21/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,27,2/21/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Female,254,2/21/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,17,2/21/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Male,47,2/21/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/21/2025 15:00
Rieber Hall,RIE,Classic Triple,Female,514,2/21/2025 15:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/21/2025 15:00
Rieber Hall,RIE,Classic Triple,Male,359,2/21/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/21/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/21/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/21/2025 15:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,247,2/21/2025 15:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,28,2/21/2025 15:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,162,2/21/2025 15:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/21/2025 15:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/21/2025 15:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,239,2/21/2025 15:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,26,2/21/2025 15:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,191,2/21/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,33,2/21/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/21/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,8,2/21/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,50,2/21/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,6,2/21/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,15,2/21/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2/21/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,2,2/21/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,391,2/21/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/21/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,248,2/21/2025 15:00
Sproul Hall,SPR,Classic Triple,Female,422,2/21/2025 15:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2/21/2025 15:00
Sproul Hall,SPR,Classic Triple,Male,285,2/21/2025 15:00
Sproul Hall,SPR,Classic Triple,Non-Binary,0,2/21/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,224,2/21/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,13,2/21/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,101,2/21/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,3,2/21/2025 15:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,238,2/21/2025 15:00
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,12,2/21/2025 15:00
Sunset Village,SV,Plaza Triple/Shared Bath,Male,200,2/21/2025 15:00
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/21/2025 15:00
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 15:00
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2/21/2025 15:00
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2/21/2025 15:00
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/21/2025 15:00
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 15:00
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/6 Person,Female,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/6 Person,Male,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2/21/2025 15:00
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2/21/2025 15:00
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2/21/2025 15:00
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2/21/2025 15:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2/21/2025 15:00
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2/21/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2/21/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2/21/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2/21/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 15:00
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2/21/2025 15:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2/21/2025 15:00
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2/21/2025 15:00
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2/21/2025 15:00
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 15:00
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2/21/2025 15:00
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2/21/2025 15:00
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2/21/2025 15:00
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2/21/2025 15:00
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2/21/2025 15:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2/21/2025 15:00
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2/21/2025 15:00
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2/21/2025 15:00
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 15:00
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2/21/2025 15:00
Laurel,LA,2 Bd/4 Person,Female,0,2/21/2025 15:00
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2/21/2025 15:00
Laurel,LA,2 Bd/4 Person,Male,0,2/21/2025 15:00
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2/21/2025 15:00
Laurel,LA,4 Bd/10 Person-Double,Female,0,2/21/2025 15:00
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2/21/2025 15:00
Laurel,LA,4 Bd/10 Person-Double,Male,0,2/21/2025 15:00
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2/21/2025 15:00
Laurel,LA,4 Bd/10 Person-Triple,Female,48,2/21/2025 15:00
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2/21/2025 15:00
Laurel,LA,4 Bd/10 Person-Triple,Male,88,2/21/2025 15:00
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,2/21/2025 15:00
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2/21/2025 15:00
