Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,201,3/4/2025 12:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,3/4/2025 12:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,23,3/4/2025 12:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,3/4/2025 12:01
De Neve Residence Hall,DN,Deluxe Triple,Female,13,3/4/2025 12:01
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,3,3/4/2025 12:01
De Neve Residence Hall,DN,Deluxe Triple,Male,0,3/4/2025 12:01
Dykstra Hall,DYK,Classic Triple,Female,321,3/4/2025 12:01
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,31,3/4/2025 12:01
Dykstra Hall,DYK,Classic Triple,Male,192,3/4/2025 12:01
Hedrick Hall,HED,Classic Triple,Female,548,3/4/2025 12:01
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,3/4/2025 12:01
Hedrick Hall,HED,Classic Triple,Male,357,3/4/2025 12:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,113,3/4/2025 12:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,2,3/4/2025 12:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,1,3/4/2025 12:01
Olympic / Centennial,OC,Deluxe Triple,Female,17,3/4/2025 12:01
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,14,3/4/2025 12:01
Olympic / Centennial,OC,Deluxe Triple,Male,0,3/4/2025 12:01
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,3/4/2025 12:01
Rieber Hall,RIE,Classic Triple,Female,474,3/4/2025 12:01
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,3/4/2025 12:01
Rieber Hall,RIE,Classic Triple,Male,343,3/4/2025 12:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,3/4/2025 12:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,3/4/2025 12:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,3/4/2025 12:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,68,3/4/2025 12:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,27,3/4/2025 12:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,27,3/4/2025 12:01
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,3/4/2025 12:01
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,3/4/2025 12:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,141,3/4/2025 12:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,21,3/4/2025 12:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,107,3/4/2025 12:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,2,3/4/2025 12:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,19,3/4/2025 12:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,3/4/2025 12:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,3/4/2025 12:01
Sproul Landing / Cove,SLC,Deluxe Triple,Female,12,3/4/2025 12:01
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,4,3/4/2025 12:01
Sproul Landing / Cove,SLC,Deluxe Triple,Male,0,3/4/2025 12:01
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,3/4/2025 12:01
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,3/4/2025 12:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,372,3/4/2025 12:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,3/4/2025 12:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,231,3/4/2025 12:01
Sproul Hall,SPR,Classic Triple,Female,243,3/4/2025 12:01
Sproul Hall,SPR,Classic Triple,Gender Inclusive,27,3/4/2025 12:01
Sproul Hall,SPR,Classic Triple,Male,167,3/4/2025 12:01
Sproul Hall,SPR,Classic Triple,Non-Binary,2,3/4/2025 12:01
Sunset Village,SV,Plaza Triple/Private Bath,Female,127,3/4/2025 12:01
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,9,3/4/2025 12:01
Sunset Village,SV,Plaza Triple/Private Bath,Male,11,3/4/2025 12:01
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,4,3/4/2025 12:01
Sunset Village,SV,Plaza Triple/Shared Bath,Female,142,3/4/2025 12:01
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,9,3/4/2025 12:01
Sunset Village,SV,Plaza Triple/Shared Bath,Male,110,3/4/2025 12:01
Sunset Village,SV,Plaza Triple/Shared Bath,Non-Binary,1,3/4/2025 12:01
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,3/4/2025 12:01
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 12:01
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,3/4/2025 12:01
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,3/4/2025 12:01
Gayley Heights,GH,1 Bd/3 Person,Female,0,3/4/2025 12:01
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,3/4/2025 12:01
Gayley Heights,GH,1 Bd/3 Person,Male,0,3/4/2025 12:01
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,3/4/2025 12:01
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,3/4/2025 12:01
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,3/4/2025 12:01
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,3/4/2025 12:01
Gayley Heights,GH,2 Bd/6 Person,Female,0,3/4/2025 12:01
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,1,3/4/2025 12:01
Gayley Heights,GH,2 Bd/6 Person,Male,0,3/4/2025 12:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,3/4/2025 12:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,3/4/2025 12:01
