Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,211,3/4/2025 15:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,3/4/2025 15:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,20,3/4/2025 15:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,3/4/2025 15:01
De Neve Residence Hall,DN,Deluxe Triple,Female,13,3/4/2025 15:01
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,7,3/4/2025 15:01
De Neve Residence Hall,DN,Deluxe Triple,Male,2,3/4/2025 15:01
Dykstra Hall,DYK,Classic Triple,Female,321,3/4/2025 15:01
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,31,3/4/2025 15:01
Dykstra Hall,DYK,Classic Triple,Male,191,3/4/2025 15:01
Hedrick Hall,HED,Classic Triple,Female,551,3/4/2025 15:01
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,3/4/2025 15:01
Hedrick Hall,HED,Classic Triple,Male,357,3/4/2025 15:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,113,3/4/2025 15:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,2,3/4/2025 15:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,3/4/2025 15:01
Olympic / Centennial,OC,Deluxe Triple,Female,13,3/4/2025 15:01
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,11,3/4/2025 15:01
Olympic / Centennial,OC,Deluxe Triple,Male,3,3/4/2025 15:01
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,3/4/2025 15:01
Rieber Hall,RIE,Classic Triple,Female,467,3/4/2025 15:01
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,3/4/2025 15:01
Rieber Hall,RIE,Classic Triple,Male,343,3/4/2025 15:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,3/4/2025 15:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,3/4/2025 15:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,3/4/2025 15:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,57,3/4/2025 15:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,27,3/4/2025 15:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,36,3/4/2025 15:01
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,3/4/2025 15:01
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,3/4/2025 15:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,136,3/4/2025 15:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,20,3/4/2025 15:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,97,3/4/2025 15:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,2,3/4/2025 15:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,19,3/4/2025 15:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,3/4/2025 15:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,3/4/2025 15:01
Sproul Landing / Cove,SLC,Deluxe Triple,Female,8,3/4/2025 15:01
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,4,3/4/2025 15:01
Sproul Landing / Cove,SLC,Deluxe Triple,Male,1,3/4/2025 15:01
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,3/4/2025 15:01
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,3/4/2025 15:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,371,3/4/2025 15:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,3/4/2025 15:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,231,3/4/2025 15:01
Sproul Hall,SPR,Classic Triple,Female,251,3/4/2025 15:01
Sproul Hall,SPR,Classic Triple,Gender Inclusive,27,3/4/2025 15:01
Sproul Hall,SPR,Classic Triple,Male,152,3/4/2025 15:01
Sproul Hall,SPR,Classic Triple,Non-Binary,2,3/4/2025 15:01
Sunset Village,SV,Plaza Triple/Private Bath,Female,124,3/4/2025 15:01
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,10,3/4/2025 15:01
Sunset Village,SV,Plaza Triple/Private Bath,Male,16,3/4/2025 15:01
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,4,3/4/2025 15:01
Sunset Village,SV,Plaza Triple/Shared Bath,Female,146,3/4/2025 15:01
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,9,3/4/2025 15:01
Sunset Village,SV,Plaza Triple/Shared Bath,Male,103,3/4/2025 15:01
Sunset Village,SV,Plaza Triple/Shared Bath,Non-Binary,1,3/4/2025 15:01
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,3/4/2025 15:01
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 15:01
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,3/4/2025 15:01
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,3/4/2025 15:01
Gayley Heights,GH,1 Bd/3 Person,Female,0,3/4/2025 15:01
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,3/4/2025 15:01
Gayley Heights,GH,1 Bd/3 Person,Male,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/6 Person,Female,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/6 Person,Male,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,3/4/2025 15:01
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,3/4/2025 15:01
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,3/4/2025 15:01
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,3/4/2025 15:01
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,3/4/2025 15:01
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,3/4/2025 15:01
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,3/4/2025 15:01
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,3/4/2025 15:01
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,3/4/2025 15:01
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,3/4/2025 15:01
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,3/4/2025 15:01
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,3/4/2025 15:01
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,3/4/2025 15:01
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,3/4/2025 15:01
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,3/4/2025 15:01
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 15:01
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,3/4/2025 15:01
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,3/4/2025 15:01
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,3/4/2025 15:01
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,3/4/2025 15:01
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,3/4/2025 15:01
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,3/4/2025 15:01
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,3/4/2025 15:01
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,3/4/2025 15:01
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 15:01
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,3/4/2025 15:01
Laurel,LA,2 Bd/4 Person,Female,0,3/4/2025 15:01
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 15:01
Laurel,LA,2 Bd/4 Person,Male,0,3/4/2025 15:01
Laurel,LA,2 Bd/4 Person,Non-Binary,0,3/4/2025 15:01
Laurel,LA,4 Bd/10 Person-Double,Female,0,3/4/2025 15:01
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,3/4/2025 15:01
Laurel,LA,4 Bd/10 Person-Double,Male,0,3/4/2025 15:01
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,3/4/2025 15:01
Laurel,LA,4 Bd/10 Person-Triple,Female,39,3/4/2025 15:01
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,3/4/2025 15:01
Laurel,LA,4 Bd/10 Person-Triple,Male,73,3/4/2025 15:01
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,3/4/2025 15:01
Landfair Apartments,LF,2 Bd/4 Person,Female,0,3/4/2025 15:01
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,3/4/2025 15:01
Landfair Apartments,LF,2 Bd/4 Person,Male,0,3/4/2025 15:01
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,3/4/2025 15:01
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,3/4/2025 15:01
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,3/4/2025 15:01
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,3/4/2025 15:01
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,3/4/2025 15:01
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,3/4/2025 15:01
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,1,3/4/2025 15:01
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,3/4/2025 15:01
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,0,3/4/2025 15:01
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,3/4/2025 15:01
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,3/4/2025 15:01
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,3/4/2025 15:01
