Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,670,2/19/2025 13:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,24,2/19/2025 13:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,389,2/19/2025 13:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/19/2025 13:01
De Neve Residence Hall,DN,Deluxe Triple,Female,247,2/19/2025 13:01
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,27,2/19/2025 13:01
De Neve Residence Hall,DN,Deluxe Triple,Male,119,2/19/2025 13:01
Dykstra Hall,DYK,Classic Triple,Female,454,2/19/2025 13:01
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/19/2025 13:01
Dykstra Hall,DYK,Classic Triple,Male,259,2/19/2025 13:01
Hedrick Hall,HED,Classic Triple,Female,580,2/19/2025 13:01
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/19/2025 13:01
Hedrick Hall,HED,Classic Triple,Male,366,2/19/2025 13:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,261,2/19/2025 13:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,4,2/19/2025 13:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,167,2/19/2025 13:01
Olympic / Centennial,OC,Deluxe Triple,Female,858,2/19/2025 13:01
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,60,2/19/2025 13:01
Olympic / Centennial,OC,Deluxe Triple,Male,487,2/19/2025 13:01
Rieber Hall,RIE,Classic Triple,Female,554,2/19/2025 13:01
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/19/2025 13:01
Rieber Hall,RIE,Classic Triple,Male,376,2/19/2025 13:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,2,2/19/2025 13:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/19/2025 13:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/19/2025 13:01
