Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,706,2/19/2025 9:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,30,2/19/2025 9:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,424,2/19/2025 9:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/19/2025 9:00
De Neve Residence Hall,DN,Deluxe Triple,Female,254,2/19/2025 9:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,27,2/19/2025 9:00
De Neve Residence Hall,DN,Deluxe Triple,Male,122,2/19/2025 9:00
Dykstra Hall,DYK,Classic Triple,Female,456,2/19/2025 9:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/19/2025 9:00
Dykstra Hall,DYK,Classic Triple,Male,260,2/19/2025 9:00
Hedrick Hall,HED,Classic Triple,Female,580,2/19/2025 9:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/19/2025 9:00
Hedrick Hall,HED,Classic Triple,Male,366,2/19/2025 9:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,263,2/19/2025 9:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,18,2/19/2025 9:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,167,2/19/2025 9:00
Olympic / Centennial,OC,Deluxe Triple,Female,923,2/19/2025 9:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,66,2/19/2025 9:00
Olympic / Centennial,OC,Deluxe Triple,Male,514,2/19/2025 9:00
Rieber Hall,RIE,Classic Triple,Female,556,2/19/2025 9:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/19/2025 9:00
Rieber Hall,RIE,Classic Triple,Male,377,2/19/2025 9:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,8,2/19/2025 9:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,6,2/19/2025 9:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,1,2/19/2025 9:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,418,2/19/2025 9:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2/19/2025 9:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,262,2/19/2025 9:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/19/2025 9:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/19/2025 9:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,383,2/19/2025 9:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,30,2/19/2025 9:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,250,2/19/2025 9:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,231,2/19/2025 9:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,6,2/19/2025 9:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,100,2/19/2025 9:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,472,2/19/2025 9:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,16,2/19/2025 9:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,265,2/19/2025 9:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,409,2/19/2025 9:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/19/2025 9:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,251,2/19/2025 9:00
Sproul Hall,SPR,Classic Triple,Female,532,2/19/2025 9:00
