Building,Building_Abbreviation,Room_Type,Gender,Available_Bed_Spaces,Last_Updated,Percent_Left
Laurel,LA,4 Bd/10 Person-Triple,Female,40,2025-02-24 16:00:00,15.5
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Laurel,LA,4 Bd/10 Person-Triple,Male,78,2025-02-24 16:00:00,52.0
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,2025-02-24 16:00:00,66.7
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Landfair Apartments,LF,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,1 Bd/3 Person,Male,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Female,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Quad,Male,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/7 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Female,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Levering Terrace Apartments,LT,2 Bd/8 Person,Male,7,2025-02-24 16:00:00,10.9
Landfair Vista Apartments,LV,2 Bd+Loft/5 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd+Loft/6 Person,Male,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,2 Bd/5 Person-Triple,Male,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,3 Bd+Loft/9 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,3 Bd/6 Person,Female,0,2025-02-24 16:00:00,0.0
Landfair Vista Apartments,LV,3 Bd/6 Person,Male,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Triple,Female,39,2025-02-24 16:00:00,27.1
Palo Verde,PV,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Palo Verde,PV,4 Bd/10 Person-Triple,Male,41,2025-02-24 16:00:00,48.8
Tipuana,TN,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Tipuana,TN,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Tipuana,TN,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Triple,Female,42,2025-02-24 16:00:00,14.3
Tipuana,TN,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Tipuana,TN,4 Bd/10 Person-Triple,Male,113,2025-02-24 16:00:00,62.8
Westwood Chateau Apartments,WC,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Male,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,1 Bd/3 Person,Non-Binary,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Westwood Chateau Apartments,WC,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,1 Bd/3 Person,Female,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Female,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/3 Person-Double,Male,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Female,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 16:00:00,0.0
Westwood Palms Apartments,WP,2 Bd/4 Person,Male,0,2025-02-24 16:00:00,0.0
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,229,2025-02-24 15:00:00,30.5
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,2025-02-24 15:00:00,18.2
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,39,2025-02-24 15:00:00,8.4
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2025-02-24 15:00:00,0.0
De Neve Residence Hall,DN,Deluxe Triple,Female,16,2025-02-24 15:00:00,5.9
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,3,2025-02-24 15:00:00,9.1
De Neve Residence Hall,DN,Deluxe Triple,Male,4,2025-02-24 15:00:00,3.2
Dykstra Hall,DYK,Classic Triple,Female,327,2025-02-24 15:00:00,69.9
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2025-02-24 15:00:00,72.2
Dykstra Hall,DYK,Classic Triple,Male,198,2025-02-24 15:00:00,75.9
Hedrick Hall,HED,Classic Triple,Female,542,2025-02-24 15:00:00,92.2
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2025-02-24 15:00:00,100.0
Hedrick Hall,HED,Classic Triple,Male,361,2025-02-24 15:00:00,98.6
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,119,2025-02-24 15:00:00,45.1
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2025-02-24 15:00:00,5.6
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,2025-02-24 15:00:00,0.0
Olympic / Centennial,OC,Deluxe Triple,Female,28,2025-02-24 15:00:00,2.8
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,12,2025-02-24 15:00:00,14.8
Olympic / Centennial,OC,Deluxe Triple,Male,0,2025-02-24 15:00:00,0.0
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2025-02-24 15:00:00,0.0
Rieber Hall,RIE,Classic Triple,Female,479,2025-02-24 15:00:00,84.5
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,2025-02-24 15:00:00,93.8
Rieber Hall,RIE,Classic Triple,Male,344,2025-02-24 15:00:00,90.3
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2025-02-24 15:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2025-02-24 15:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2025-02-24 15:00:00,0.0
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,73,2025-02-24 15:00:00,16.7
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,25,2025-02-24 15:00:00,69.4
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,36,2025-02-24 15:00:00,13.3
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2025-02-24 15:00:00,0.0
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2025-02-24 15:00:00,0.0
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,143,2025-02-24 15:00:00,35.0
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,22,2025-02-24 15:00:00,73.3
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,124,2025-02-24 15:00:00,49.2
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,3,2025-02-24 15:00:00,75.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,19,2025-02-24 15:00:00,7.4
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,2025-02-24 15:00:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Female,20,2025-02-24 15:00:00,3.4
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,5,2025-02-24 15:00:00,11.1
Sproul Landing / Cove,SLC,Deluxe Triple,Male,0,2025-02-24 15:00:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2025-02-24 15:00:00,0.0
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,2025-02-24 15:00:00,0.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,370,2025-02-24 15:00:00,89.4
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2025-02-24 15:00:00,100.0
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,239,2025-02-24 15:00:00,94.8
Sproul Hall,SPR,Classic Triple,Female,259,2025-02-24 15:00:00,44.7
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2025-02-24 15:00:00,72.5
Sproul Hall,SPR,Classic Triple,Male,174,2025-02-24 15:00:00,47.2
Sproul Hall,SPR,Classic Triple,Non-Binary,0,2025-02-24 15:00:00,0.0
Sunset Village,SV,Plaza Triple/Private Bath,Female,135,2025-02-24 15:00:00,26.6
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,10,2025-02-24 15:00:00,25.6
Sunset Village,SV,Plaza Triple/Private Bath,Male,20,2025-02-24 15:00:00,6.5
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,2,2025-02-24 15:00:00,40.0
Sunset Village,SV,Plaza Triple/Shared Bath,Female,147,2025-02-24 15:00:00,32.2
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,12,2025-02-24 15:00:00,33.3
Sunset Village,SV,Plaza Triple/Shared Bath,Male,126,2025-02-24 15:00:00,44.7
Sunset Village,SV,Plaza Triple/Shared Bath,Non-Binary,5,2025-02-24 15:00:00,100.0
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,1 Bd/3 Person,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/6 Person,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,2 Bd/7 Person-Triple,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,3 Bd/8 Person-Triple,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Female,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Gayley Heights,GH,4 Bd/10 Person-Triple,Male,0,2025-02-24 15:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Glenrock Apartments,GR,2 Bd/3 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Glenrock Apartments,GR,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Female,0,2025-02-24 15:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Male,0,2025-02-24 15:00:00,0.0
Glenrock West Apartments,GW,1 Bd/3 Person,Non-Binary,1,2025-02-24 15:00:00,33.3
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Glenrock West Apartments,GW,2 Bd/3 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Glenrock West Apartments,GW,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Laurel,LA,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Laurel,LA,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Laurel,LA,2 Bd/4 Person,Male,0,2025-02-24 15:00:00,0.0
Laurel,LA,2 Bd/4 Person,Non-Binary,0,2025-02-24 15:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Female,0,2025-02-24 15:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Male,0,2025-02-24 15:00:00,0.0
Laurel,LA,4 Bd/10 Person-Double,Non-Binary,0,2025-02-24 15:00:00,0.0
Laurel,LA,4 Bd/10 Person-Triple,Female,40,2025-02-24 15:00:00,15.5
Laurel,LA,4 Bd/10 Person-Triple,Gender Inclusive,0,2025-02-24 15:00:00,0.0
Laurel,LA,4 Bd/10 Person-Triple,Male,79,2025-02-24 15:00:00,52.7
Laurel,LA,4 Bd/10 Person-Triple,Non-Binary,4,2025-02-24 15:00:00,66.7
Landfair Apartments,LF,2 Bd/4 Person,Female,0,2025-02-24 15:00:00,0.0
Landfair Apartments,LF,2 Bd/4 Person,Gender Inclusive,0,2025-02-24 15:00:00,0.0
