Last_Updated,Building,Available_Bed_Spaces,Percent_Left
2025-02-18 12:00:00,Landfair Apartments,8,0.04878048780487805
2025-02-18 12:00:00,Landfair Vista Apartments,5,0.034722222222222224
2025-02-18 12:00:00,Laurel,732,0.9556135770234987
2025-02-18 12:00:00,Levering Terrace Apartments,241,0.895910780669145
2025-02-18 12:00:00,Olympic / Centennial,1587,0.9480286738351255
2025-02-18 12:00:00,Palo Verde,412,0.976303317535545
2025-02-18 12:00:00,Rieber Hall,987,0.9909638554216867
2025-02-18 12:00:00,Rieber Terrace,750,0.9615384615384616
2025-02-18 12:00:00,Rieber Vista,672,0.9655172413793104
2025-02-18 12:00:00,Saxon Suites,369,0.8661971830985915
2025-02-18 12:00:00,Sproul Hall,961,0.9619619619619619
2025-02-18 12:00:00,Sproul Landing / Cove,861,0.8567164179104477
2025-02-18 12:00:00,Sunset Village,1599,0.9815837937384899
2025-02-18 12:00:00,Tipuana,866,0.9352051835853131
2025-02-18 12:00:00,Westwood Chateau Apartments,175,0.7113821138211383
2025-02-18 12:00:00,Westwood Palms Apartments,43,0.4942528735632184
2025-02-18 13:00:00,De Neve Plaza,1189,0.9550200803212852
2025-02-18 13:00:00,De Neve Residence Hall,423,0.9791666666666666
2025-02-18 13:00:00,Dykstra Hall,759,0.9921568627450981
2025-02-18 13:00:00,Gayley Court Apartments,62,0.2246376811594203
2025-02-18 13:00:00,Gayley Heights,739,0.6348797250859106
2025-02-18 13:00:00,Glenrock Apartments,11,0.07333333333333333
2025-02-18 13:00:00,Glenrock West Apartments,8,0.0761904761904762
2025-02-18 13:00:00,Hedrick Hall,994,0.9920159680638723
2025-02-18 13:00:00,Hedrick Summit,691,0.992816091954023
2025-02-18 13:00:00,Hitch Suites,449,0.9977777777777778
2025-02-18 13:00:00,Landfair Apartments,10,0.06097560975609756
2025-02-18 13:00:00,Landfair Vista Apartments,1,0.006944444444444444
2025-02-18 13:00:00,Laurel,687,0.8968668407310705
2025-02-18 13:00:00,Levering Terrace Apartments,241,0.895910780669145
2025-02-18 13:00:00,Olympic / Centennial,1573,0.9396654719235364
2025-02-18 13:00:00,Palo Verde,402,0.95260663507109
2025-02-18 13:00:00,Rieber Hall,987,0.9909638554216867
2025-02-18 13:00:00,Rieber Terrace,750,0.9615384615384616
2025-02-18 13:00:00,Rieber Vista,666,0.9568965517241379
2025-02-18 13:00:00,Saxon Suites,361,0.8474178403755869
2025-02-18 13:00:00,Sproul Hall,941,0.9419419419419419
2025-02-18 13:00:00,Sproul Landing / Cove,811,0.8069651741293532
2025-02-18 13:00:00,Sunset Village,1584,0.9723756906077348
2025-02-18 13:00:00,Tipuana,814,0.8790496760259179
2025-02-18 13:00:00,Westwood Chateau Apartments,86,0.34959349593495936
2025-02-18 13:00:00,Westwood Palms Apartments,26,0.2988505747126437
2025-02-18 14:00:00,De Neve Plaza,1180,0.9477911646586346
2025-02-18 14:00:00,De Neve Residence Hall,410,0.9490740740740741
2025-02-18 14:00:00,Dykstra Hall,757,0.9895424836601308
2025-02-18 14:00:00,Gayley Court Apartments,31,0.11231884057971014
2025-02-18 14:00:00,Gayley Heights,520,0.44673539518900346
2025-02-18 14:00:00,Glenrock Apartments,6,0.04
2025-02-18 14:00:00,Glenrock West Apartments,4,0.0380952380952381
2025-02-18 14:00:00,Hedrick Hall,994,0.9920159680638723
2025-02-18 14:00:00,Hedrick Summit,691,0.992816091954023
2025-02-18 14:00:00,Hitch Suites,447,0.9933333333333333
2025-02-18 14:00:00,Landfair Apartments,5,0.03048780487804878
2025-02-18 14:00:00,Landfair Vista Apartments,1,0.006944444444444444
2025-02-18 14:00:00,Laurel,675,0.881201044386423
2025-02-18 14:00:00,Levering Terrace Apartments,241,0.895910780669145
2025-02-18 14:00:00,Olympic / Centennial,1546,0.9235364396654719
2025-02-18 14:00:00,Palo Verde,382,0.9052132701421801
2025-02-18 14:00:00,Rieber Hall,984,0.9879518072289156
2025-02-18 14:00:00,Rieber Terrace,738,0.9461538461538461
2025-02-18 14:00:00,Rieber Vista,664,0.9540229885057471
2025-02-18 14:00:00,Saxon Suites,352,0.8262910798122066
2025-02-18 14:00:00,Sproul Hall,934,0.934934934934935
2025-02-18 14:00:00,Sproul Landing / Cove,790,0.7860696517412935
2025-02-18 14:00:00,Sunset Village,1557,0.9558011049723757
2025-02-18 14:00:00,Tipuana,786,0.8488120950323974
2025-02-18 14:00:00,Westwood Chateau Apartments,25,0.1016260162601626
2025-02-18 14:00:00,Westwood Palms Apartments,14,0.16091954022988506
2025-02-18 15:00:00,De Neve Plaza,1164,0.9349397590361446
2025-02-18 15:00:00,De Neve Residence Hall,407,0.9421296296296297
2025-02-18 15:00:00,Dykstra Hall,755,0.9869281045751634
2025-02-18 15:00:00,Gayley Court Apartments,8,0.028985507246376812
2025-02-18 15:00:00,Gayley Heights,329,0.28264604810996563
2025-02-18 15:00:00,Glenrock Apartments,5,0.03333333333333333
2025-02-18 15:00:00,Glenrock West Apartments,3,0.02857142857142857
2025-02-18 15:00:00,Hedrick Hall,994,0.9920159680638723
2025-02-18 15:00:00,Hedrick Summit,691,0.992816091954023
2025-02-18 15:00:00,Hitch Suites,449,0.9977777777777778
2025-02-18 15:00:00,Landfair Apartments,2,0.012195121951219513
2025-02-18 15:00:00,Landfair Vista Apartments,0,0.0
2025-02-18 15:00:00,Laurel,671,0.8759791122715405
2025-02-18 15:00:00,Levering Terrace Apartments,212,0.7881040892193308
2025-02-18 15:00:00,Olympic / Centennial,1526,0.9115890083632019
2025-02-18 15:00:00,Palo Verde,362,0.8578199052132701
2025-02-18 15:00:00,Rieber Hall,984,0.9879518072289156
2025-02-18 15:00:00,Rieber Terrace,734,0.941025641025641
2025-02-18 15:00:00,Rieber Vista,663,0.9525862068965517
2025-02-18 15:00:00,Saxon Suites,345,0.8098591549295775
2025-02-18 15:00:00,Sproul Hall,927,0.9279279279279279
2025-02-18 15:00:00,Sproul Landing / Cove,760,0.7562189054726368
2025-02-18 15:00:00,Sunset Village,1543,0.947206875383671
2025-02-18 15:00:00,Tipuana,761,0.8218142548596112
2025-02-18 15:00:00,Westwood Chateau Apartments,8,0.032520325203252036
2025-02-18 15:00:00,Westwood Palms Apartments,8,0.09195402298850575
2025-02-18 16:00:00,De Neve Plaza,1160,0.9317269076305221
2025-02-18 16:00:00,De Neve Residence Hall,403,0.9328703703703703
2025-02-18 16:00:00,Dykstra Hall,752,0.9830065359477124
2025-02-18 16:00:00,Gayley Court Apartments,2,0.007246376811594203
2025-02-18 16:00:00,Gayley Heights,238,0.20446735395189003
2025-02-18 16:00:00,Glenrock Apartments,4,0.02666666666666667
2025-02-18 16:00:00,Glenrock West Apartments,3,0.02857142857142857
2025-02-18 16:00:00,Hedrick Hall,994,0.9920159680638723
2025-02-18 16:00:00,Hedrick Summit,690,0.9913793103448276
2025-02-18 16:00:00,Hitch Suites,448,0.9955555555555555
2025-02-18 16:00:00,Landfair Apartments,0,0.0
2025-02-18 16:00:00,Landfair Vista Apartments,0,0.0
2025-02-18 16:00:00,Laurel,662,0.8642297650130548
2025-02-18 16:00:00,Levering Terrace Apartments,205,0.7620817843866171
2025-02-18 16:00:00,Olympic / Centennial,1503,0.8978494623655914
2025-02-18 16:00:00,Palo Verde,365,0.8649289099526066
2025-02-18 16:00:00,Rieber Hall,981,0.9849397590361446
2025-02-18 16:00:00,Rieber Terrace,731,0.9371794871794872
2025-02-18 16:00:00,Rieber Vista,663,0.9525862068965517
2025-02-18 16:00:00,Saxon Suites,337,0.7910798122065728
2025-02-18 16:00:00,Sproul Hall,924,0.924924924924925
2025-02-18 16:00:00,Sproul Landing / Cove,753,0.7492537313432835
2025-02-18 16:00:00,Sunset Village,1542,0.9465930018416207
2025-02-18 16:00:00,Tipuana,755,0.8153347732181425
2025-02-18 16:00:00,Westwood Chateau Apartments,5,0.02032520325203252
2025-02-18 16:00:00,Westwood Palms Apartments,2,0.022988505747126436
2025-02-19 09:00:00,De Neve Plaza,1160,0.9317269076305221
2025-02-19 09:00:00,De Neve Residence Hall,403,0.9328703703703703
2025-02-19 09:00:00,Dykstra Hall,752,0.9830065359477124
2025-02-19 09:00:00,Gayley Court Apartments,2,0.007246376811594203
2025-02-19 09:00:00,Gayley Heights,238,0.20446735395189003
2025-02-19 09:00:00,Glenrock Apartments,4,0.02666666666666667
2025-02-19 09:00:00,Glenrock West Apartments,3,0.02857142857142857
2025-02-19 09:00:00,Hedrick Hall,994,0.9920159680638723
2025-02-19 09:00:00,Hedrick Summit,690,0.9913793103448276
2025-02-19 09:00:00,Hitch Suites,448,0.9955555555555555
2025-02-19 09:00:00,Landfair Apartments,0,0.0
2025-02-19 09:00:00,Landfair Vista Apartments,0,0.0
2025-02-19 09:00:00,Laurel,662,0.8642297650130548
2025-02-19 09:00:00,Levering Terrace Apartments,205,0.7620817843866171
2025-02-19 09:00:00,Olympic / Centennial,1503,0.8978494623655914
2025-02-19 09:00:00,Palo Verde,365,0.8649289099526066
2025-02-19 09:00:00,Rieber Hall,981,0.9849397590361446
2025-02-19 09:00:00,Rieber Terrace,731,0.9371794871794872
2025-02-19 09:00:00,Rieber Vista,663,0.9525862068965517
2025-02-19 09:00:00,Saxon Suites,337,0.7910798122065728
2025-02-19 09:00:00,Sproul Hall,924,0.924924924924925
2025-02-19 09:00:00,Sproul Landing / Cove,753,0.7492537313432835
2025-02-19 09:00:00,Sunset Village,1542,0.9465930018416207
2025-02-19 09:00:00,Tipuana,755,0.8153347732181425
2025-02-19 09:00:00,Westwood Chateau Apartments,5,0.02032520325203252
2025-02-19 09:00:00,Westwood Palms Apartments,2,0.022988505747126436
2025-02-19 10:01:00,De Neve Plaza,1147,0.921285140562249
2025-02-19 10:01:00,De Neve Residence Hall,401,0.9282407407407407
2025-02-19 10:01:00,Dykstra Hall,751,0.9816993464052287
2025-02-19 10:01:00,Gayley Court Apartments,2,0.007246376811594203
2025-02-19 10:01:00,Gayley Heights,91,0.0781786941580756
2025-02-19 10:01:00,Glenrock Apartments,0,0.0
