Available_Bed_Spaces,Last_Updated,Percent_Left,Effective_Percent_Left
17514,2025-02-18 09:00:00,1.0,1.0
16970,2025-02-18 10:00:00,0.9689391344067603,0.9566222789251256
16453,2025-02-18 11:00:00,0.9394198926573027,0.9153974962124233
15907,2025-02-18 12:00:00,0.9082448327052643,0.8718602982218324
15265,2025-02-18 13:00:00,0.8715884435308896,0.8206682082768519
14734,2025-02-18 14:00:00,0.8412698412698413,0.7783270871541345
14311,2025-02-18 15:00:00,0.8171177343839214,0.7445977194801052
14122,2025-02-18 16:00:00,0.8063263674774466,0.7295271509449007
14122,2025-02-19 09:00:00,0.8063263674774466,0.7295271509449007
13673,2025-02-19 10:01:00,0.780689733927144,0.6937245833665577
13324,2025-02-19 11:01:00,0.7607628183167752,0.6658958615740371
13015,2025-02-19 12:01:00,0.7431197898823798,0.6412566780958456
12705,2025-02-19 13:01:00,0.7254196642685852,0.6165377561597959
12364,2025-02-19 14:01:00,0.705949526093411,0.5893469420301412
12150,2025-02-19 15:01:00,0.6937307297019527,0.572282912048481
11994,2025-02-19 16:01:00,0.684823569715656,0.5598437126225979
11725,2025-02-20 10:02:00,0.6694644284572342,0.5383940674587353
11314,2025-02-20 11:02:00,0.6459974877241065,0.5056215612790048
10943,2025-02-20 12:02:00,0.6248144341669521,0.4760385934136034
10612,2025-02-20 13:02:00,0.6059152677857714,0.4496451638625309
10304,2025-02-20 14:03:00,0.5883293365307753,0.4250857188421976
9981,2025-02-20 15:03:00,0.5698869475847893,0.3993301969539909
9854,2025-02-20 16:03:00,0.5626356058010734,0.38920341280599635
9677,2025-02-21 10:00:00,0.5525294050473907,0.3750897057650905
9303,2025-02-21 11:00:00,0.5311750599520384,0.34526752252611437
8824,2025-02-21 12:00:00,0.5038255110197556,0.30707280121202457
8357,2025-02-21 13:00:00,0.4771611282402649,0.26983494139223346
7874,2025-02-21 14:00:00,0.4495831905903848,0.2313212662467108
7446,2025-02-21 15:00:00,0.4251455978074683,0.1971932062833905
7254,2025-02-21 16:00:00,0.4141829393627955,0.18188342237461128
6873,2025-02-24 10:00:00,0.3924289140116478,0.15150306993062754
6469,2025-02-24 11:00:00,0.3693616535343154,0.11928873295590463
6064,2025-02-24 12:00:00,0.3462372958775837,0.0869946575233235
5756,2025-02-24 13:00:00,0.32865136462258765,0.062435212502990195
5442,2025-02-24 14:00:00,0.3107228502911956,0.03739733673550753
5230,2025-02-24 15:00:00,0.298618248258536,0.020492783669563832
5165,2025-02-24 16:00:00,0.2949069315975791,0.015309783908779203
5155,2025-03-03 10:00:00,0.2943359598035857,0.014512399330196954
5142,2025-03-03 11:00:00,0.2935936964713943,0.013475799378040028
5128,2025-03-03 12:00:00,0.2927943359598036,0.012359460968024878
5109,2025-03-03 13:00:00,0.2917094895512162,0.010844430268718603
5083,2025-03-03 14:00:00,0.2902249628868334,0.008771230364404753
5035,2025-03-03 16:00:00,0.2874842982756652,0.004943784387209951
5023,2025-03-04 10:01:00,0.2867991321228731,0.003986922892911251
5010,2025-03-04 11:01:00,0.28605686879068176,0.002950322940754326
4999,2025-03-04 12:01:00,0.285428799817289,0.0020731999043138508
4993,2025-03-04 13:01:00,0.285086216740893,0.0015947691571645004
4989,2025-03-04 14:01:00,0.2848578280232956,0.0012758153257316004
4973,2025-03-04 15:01:00,0.28394427315290627,0.0
